baker,last_name,series,baker_age,baker_occupation,hometown,episode,technical,result,signature_bake,show_stopper
Enwezor,Nzegwu,5,39,Business Consultant,"Portsmouth, Hampshire",1,9,IN,Raspberry and Lemon Swiss Roll,Coffee and Walnut Battenberg Squares
Enwezor,Nzegwu,5,39,Business Consultant,"Portsmouth, Hampshire",2,9,OUT,Pumpkin and Sunflower Savoury Biscuits,Space Adventure Moon Scene
Flo,Atkins,8,71,Retired,Merseyside,1,9,IN,Citrus Layer Cake,'One in a Melon' Cake
Flo,Atkins,8,71,Retired,Merseyside,2,10,IN,Gin Jam Butties,'Pick My Bones' Game
Flo,Atkins,8,71,Retired,Merseyside,3,7,OUT,Cinnamon and Orange Teacakes,'Davy Jones' Locker' Bread Sculpture
Flora,Shedden,6,19,Art gallery assistant,"Dunkeld, Perth and Kinross",1,6,IN,Blood Orange Madeira Cake,Black Forest Gâteau
Flora,Shedden,6,19,Art gallery assistant,"Dunkeld, Perth and Kinross",2,2,IN,Wedding Biscotti,Honey and Earl Grey Tea Box
Flora,Shedden,6,19,Art gallery assistant,"Dunkeld, Perth and Kinross",3,2,IN,Fig and Hazelnut Rye Breads,Herb Couture
Flora,Shedden,6,19,Art gallery assistant,"Dunkeld, Perth and Kinross",4,3,IN,Rhubarb and Ginger Crème Brûlées,Elderflower and Granola Cheesecakes
Flora,Shedden,6,19,Art gallery assistant,"Dunkeld, Perth and Kinross",5,3,IN,"Pistachio, Apple and Cardamom Madeleine Cake",Chocolate and Pear Bûche
Flora,Shedden,6,19,Art gallery assistant,"Dunkeld, Perth and Kinross",6,2,IN,Apricot and Rosemary Frangipane Tart,Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents
Flora,Shedden,6,19,Art gallery assistant,"Dunkeld, Perth and Kinross",7,4,IN,Game Pie with Shallot and Apple Chutney,"Raspberry, Pomegranate and Champagne Charlotte Russe"
Flora,Shedden,6,19,Art gallery assistant,"Dunkeld, Perth and Kinross",8,3,IN,Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns,Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne
Flora,Shedden,6,19,Art gallery assistant,"Dunkeld, Perth and Kinross",9,1,OUT,Passion Fruit and Chocolate Tart,Cocoa Carousel
Frances,Quinn,4,31,Children's Clothes Designer,"Market Harborough, Leicestershire",1,7,IN,Giant Jam Sandwich,Secret Squirrel Cake
Frances,Quinn,4,31,Children's Clothes Designer,"Market Harborough, Leicestershire",2,2,IN,Giant Matchsticks,Sailor's Knot
Frances,Quinn,4,31,Children's Clothes Designer,"Market Harborough, Leicestershire",3,8,IN,Apple and Blackberry Crumble Trifle,'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes
Frances,Quinn,4,31,Children's Clothes Designer,"Market Harborough, Leicestershire",4,1,IN,Peach Pie In the Sky,Cherry Tree Baklava Filo Pie
Frances,Quinn,4,31,Children's Clothes Designer,"Market Harborough, Leicestershire",5,3,IN,Millionaire Banoffee Bonus,Biscuit Buttons and Beads
Frances,Quinn,4,31,Children's Clothes Designer,"Market Harborough, Leicestershire",6,2,IN,Chai Tea Loaf,Hot Cross BriochesRhubarb and Custard Kolaches
Frances,Quinn,4,31,Children's Clothes Designer,"Market Harborough, Leicestershire",7,5,STAR BAKER,Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream,French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers
Frances,Quinn,4,31,Children's Clothes Designer,"Market Harborough, Leicestershire",8,3,IN,'Chelsea Flour Show' Bun Bouquet,"Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)"
Frances,Quinn,4,31,Children's Clothes Designer,"Market Harborough, Leicestershire",9,2,IN,"Legume Canapés:
Chantenay CarrotsChoux Pastry TomatoesCauliflower Cheese Scones",Great British Soap Opera Cake
Frances,Quinn,4,31,Children's Clothes Designer,"Market Harborough, Leicestershire",10,3,WINNER,Rainbow Picnic Pie,Midsummer Night's Dream Wedding Cake
Glenn,Cosby,4,37,English Teacher,"Teignmouth, Devon",1,4,IN,Strawberries and Cream Cake,Almond and Espresso Chocolate Cake
Glenn,Cosby,4,37,English Teacher,"Teignmouth, Devon",2,7,IN,Rosemary and Parmesan Grissini,Harvest Crown
Glenn,Cosby,4,37,English Teacher,"Teignmouth, Devon",3,1,IN,Raspberry and Almond Trifle,Billionaire BouchéesOrange Financiers
Glenn,Cosby,4,37,English Teacher,"Teignmouth, Devon",4,9,IN,Apple & Maple Syrup Pie,Spanakopita (Walnut and Feta Cheese)
Glenn,Cosby,4,37,English Teacher,"Teignmouth, Devon",5,2,IN,Apricot and Pistachio Tiffin,Shortbread and Macaron Helter-Skelter
Glenn,Cosby,4,37,English Teacher,"Teignmouth, Devon",6,5,IN,Devonshire Panettone,Almond and Apricot BriochesSticky Caramel Kanelbullen
Glenn,Cosby,4,37,English Teacher,"Teignmouth, Devon",7,3,OUT,Prune and Armagnac Puddingwith Boozy Butterscotch Sauce,Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille
Helena,Garcia,10,40,Online project manager,Leeds,1,12,IN,NA,NA
Helena,Garcia,10,40,Online project manager,Leeds,2,12,IN,NA,NA
Helena,Garcia,10,40,Online project manager,Leeds,3,8,IN,NA,NA
Helena,Garcia,10,40,Online project manager,Leeds,4,9,IN,NA,NA
Helena,Garcia,10,40,Online project manager,Leeds,5,1,OUT,NA,NA
Henry,Bird,10,20,Student,Durham,1,1,IN,NA,NA
Henry,Bird,10,20,Student,Durham,2,6,IN,NA,NA
Henry,Bird,10,20,Student,Durham,3,1,IN,NA,NA
Henry,Bird,10,20,Student,Durham,4,3,IN,NA,NA
Henry,Bird,10,20,Student,Durham,5,3,IN,NA,NA
Henry,Bird,10,20,Student,Durham,6,4,IN,NA,NA
Henry,Bird,10,20,Student,Durham,7,3,STAR BAKER,NA,NA
Henry,Bird,10,20,Student,Durham,8,5,OUT,NA,NA
Holly,Bell,2,31,Advertising executive,Leicester,1,1,STAR BAKER,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,UNKNOWN
Holly,Bell,2,31,Advertising executive,Leicester,2,4,IN,Pesto Quiche,Milk Chocolate and Pistachio TartsTrifle Tarts
Holly,Bell,2,31,Advertising executive,Leicester,3,6,IN,Picnic Loaf,Stilton and Walnut Rolls
Holly,Bell,2,31,Advertising executive,Leicester,4,3,STAR BAKER,Strawberry and Custard Melts,"'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)"
Holly,Bell,2,31,Advertising executive,Leicester,5,4,IN,"Stilton, Potato and Caramelised Onion Pie",Lime Meringue Pie
Holly,Bell,2,31,Advertising executive,Leicester,6,3,IN,Father Christmas' Baked Cheesecake,Hansel and Gretel's Croquembouche
Holly,Bell,2,31,Advertising executive,Leicester,7,1,IN,"White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake","Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits"
Holly,Bell,2,31,Advertising executive,Leicester,8,2,Runner-up,Banoffee Inspired Mille Feuille,Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich
Howard,Middleton,4,51,Council Worker,Sheffield,1,6,IN,Passion Fruit and Coconut Cake,Black Forest Revisited
Howard,Middleton,4,51,Council Worker,Sheffield,2,10,IN,Moroccan Breadsticks,Picasso Sun Bread
Howard,Middleton,4,51,Council Worker,Sheffield,3,7,IN,Caramel and Apple Trifle*,Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits
Howard,Middleton,4,51,Council Worker,Sheffield,4,5,IN,Apple Pie with Sage Pastry,Fresh Fig and Feta Filo Flan
Howard,Middleton,4,51,Council Worker,Sheffield,5,8,IN,Breakfast Traybake,Japanese Pagoda Tea Tower
Howard,Middleton,4,51,Council Worker,Sheffield,6,7,OUT,Date & Hemp Yorkshire Loaf,Peachy BunsGerman Baumschnecken
Iain,Watters,5,31,Construction Engineer,London/Belfast,1,4,IN,Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream,"Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon"
Iain,Watters,5,31,Construction Engineer,London/Belfast,2,11,IN,Za'atar and Fig Biscuits,Wild West Scene
Iain,Watters,5,31,Construction Engineer,London/Belfast,3,9,IN,Cranberry and Walnut Rye Bread Rolls,Moroccan Plaited with a Bessara Dip
Iain,Watters,5,31,Construction Engineer,London/Belfast,4,6,OUT,"Chocolate, Lime and Raspberry Fondants","Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)"
Ian,Cumming,6,41,Travel photographer,"Great Wilbraham, Cambridgeshire",1,8,IN,Somewhere West of Madeira Cake,Black Forest Cherry Tree
Ian,Cumming,6,41,Travel photographer,"Great Wilbraham, Cambridgeshire",2,3,STAR BAKER,"Orange, Rosemary and Almond Biscotti",Sandwich de la Confiture
Ian,Cumming,6,41,Travel photographer,"Great Wilbraham, Cambridgeshire",3,1,STAR BAKER,Wild Garlic Pesto Soda Breads,Flour Power
Ian,Cumming,6,41,Travel photographer,"Great Wilbraham, Cambridgeshire",4,4,STAR BAKER,Pomegranate Two Ways Crème Brûlées,Trio of Spicy and Herby Baked Cheesecakes
Ian,Cumming,6,41,Travel photographer,"Great Wilbraham, Cambridgeshire",5,5,IN,Honey and Flowers Cake,Dessert Island
Ian,Cumming,6,41,Travel photographer,"Great Wilbraham, Cambridgeshire",6,3,IN,Pear and Raspberry Frangipane Tart,vol-au-vents Terre et Mer
Ian,Cumming,6,41,Travel photographer,"Great Wilbraham, Cambridgeshire",7,5,IN,Roadkill Pie,Victoria's Crown Charlotte Russe
Ian,Cumming,6,41,Travel photographer,"Great Wilbraham, Cambridgeshire",8,2,IN,Mont Blanc & Black Forest Gâteau Horns,Nun with Hidden Passions
Ian,Cumming,6,41,Travel photographer,"Great Wilbraham, Cambridgeshire",9,3,IN,Chocolate and Bay Tart,Chocolate Well
Ian,Cumming,6,41,Travel photographer,"Great Wilbraham, Cambridgeshire",10,2,Runner-up,Elderflower and Lemon & Spiced Buns,Colossal Curvy Carrot Cake
Ian,Vallance,2,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",1,10,IN,Apple and Cinnamon Cupcakes,UNKNOWN
Ian,Vallance,2,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",2,2,IN,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",UNKNOWN
Ian,Vallance,2,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",3,10,OUT,"Courgette, Caerphilly Cheese and Thyme Loaf",Walnut and Raisin RollsCracked Wheat Logs
Imelda,McCarron,9,33,Countryside recreation officer,County Tyrone,1,11,OUT,NA,NA
James,Hillery,8,46,Banker,"Brentwood, Essex",1,2,IN,"Orange, Rhubarb & Ginger Crumble Cake",'Mock-accino and Croissant' Cake
James,Hillery,8,46,Banker,"Brentwood, Essex",2,3,IN,Rhubarb and Custard Whirls,'Coppit' Game
James,Hillery,8,46,Banker,"Brentwood, Essex",3,9,IN,Nordic Teacakes,'Owl in the Woods' Bread Sculpture
James,Hillery,8,46,Banker,"Brentwood, Essex",4,2,IN,'Windy City' Millionaire Shortbreads,Nutty Caramel Cake
James,Hillery,8,46,Banker,"Brentwood, Essex",5,7,OUT,Orange and Ginger Steamed School Pudding,'The Missed Silver Jubilee' Trifle Terrine
James,Morton,3,21,Medical student,"Hillswick, Shetland Islands",1,2,IN,"Parsnip, Pear, and Pecan","""Simmer Dim"" Sunset Cake"
James,Morton,3,21,Medical student,"Hillswick, Shetland Islands",2,2,IN,"Tomato, Garlic, and Parmesan FlatbreadsTattie Scones","Orange, Mint and Chocolate Bagels
'Millers' Sourdough Bagels"
James,Morton,3,21,Medical student,"Hillswick, Shetland Islands",3,1,STAR BAKER,Apple and Lavender Tarte Tatin,"Rose, Lychee and Raspberry Fruit Tart"
James,Morton,3,21,Medical student,"Hillswick, Shetland Islands",4,5,IN,"Hazelnut, Chocolate and Passionfruit Torte","Fig, Chestnut, Cherry and Chocolate Layered Meringue"
James,Morton,3,21,Medical student,"Hillswick, Shetland Islands",5,6,IN,Four Pig Wellington,Sweet Potato Pie
James,Morton,3,21,Medical student,"Hillswick, Shetland Islands",6,7,IN,Banana and Clove PuddingsClootie Dumplings,"Strawberry, Rhubarb and Ginger Strudel"
James,Morton,3,21,Medical student,"Hillswick, Shetland Islands",7,1,IN,Easter Chelsea Buns,Whisky Kugelhopf-Brioche Baba
James,Morton,3,21,Medical student,"Hillswick, Shetland Islands",8,1,STAR BAKER,"Smoky Cayenne, Cumin and Chilli Crackers",Gingerbread Barn
James,Morton,3,21,Medical student,"Hillswick, Shetland Islands",9,1,STAR BAKER,"Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macaroons","Coffee, Caramel and Hazelnut Paris-Brest"
James,Morton,3,21,Medical student,"Hillswick, Shetland Islands",10,1,Runner-up,Spanish Pithivier with Chorizo and Red Pepper,United Chiffon Cakes
Jamie,Finn,10,20,Part-time waiter,Surrey,1,13,IN,NA,NA
Jamie,Finn,10,20,Part-time waiter,Surrey,2,11,OUT,NA,NA
Jane,Beedle,7,61,Garden designer,Beckenham,1,7,STAR BAKER,Lemon and Poppy Seed Drizzle Cake,Chocolate Orange Mirror Cake
Jane,Beedle,7,61,Garden designer,Beckenham,2,2,IN,Flower Pot Iced Biscuits,Hastings Old Town Fishing Net Shops and Boat
Jane,Beedle,7,61,Garden designer,Beckenham,3,9,IN,Chocolate and Cranberry Couronne,Chorizo and Chilli Flower with Parmesan and Pesto Centre
Jane,Beedle,7,61,Garden designer,Beckenham,4,3,IN,Meat and Two Veg Yorkshires,Pistachio and White Chocolate Churros
Jane,Beedle,7,61,Garden designer,Beckenham,5,1,IN,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones"
Jane,Beedle,7,61,Garden designer,Beckenham,6,4,IN,Lime and Coconut Meringue Pie,Three Tier Orange Cake with a Floral Chocolate Collar
Jane,Beedle,7,61,Garden designer,Beckenham,7,4,IN,Chocolate and Hazelnut Roulade,"Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses"
Jane,Beedle,7,61,Garden designer,Beckenham,8,5,IN,Tudor Rose Pies,Swans
Jane,Beedle,7,61,Garden designer,Beckenham,9,1,IN,"Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers",Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies
Jane,Beedle,7,61,Garden designer,Beckenham,10,3,Runner-up,"Red, White and Blue Meringue Crown",Family Favourites Feast
Janet,Basu,2,63,Teacher of Modern Languages,"Formby, Liverpool",1,8,IN,Raspberry and Cream Cupcakes,Chocolate Marble Cakewith Dark and White Chocolate Truffles
Janet,Basu,2,63,Teacher of Modern Languages,"Formby, Liverpool",2,8,IN,Quiche Printanière,Red Fruit TartsChocolate and Cherry Tarts
Janet,Basu,2,63,Teacher of Modern Languages,"Formby, Liverpool",3,8,IN,Zupfe Loaf with Gruyère Cheese,Apple and Walnut Granary Rolls Red Onion Cottage Rolls
Janet,Basu,2,63,Teacher of Modern Languages,"Formby, Liverpool",4,4,IN,Christmas Marzipan Biscuits,"Raspberry Macarons
Blackcurrant Macarons
Almond Macarons"
Janet,Basu,2,63,Teacher of Modern Languages,"Formby, Liverpool",5,1,STAR BAKER,Chicken and Chestnut Pie,Rhubarb Meringue Pie
Janet,Basu,2,63,Teacher of Modern Languages,"Formby, Liverpool",6,5,IN,Rhubarb and Ginger Baked Cheesecake,Orange and Nougatine Croquembouche
Janet,Basu,2,63,Teacher of Modern Languages,"Formby, Liverpool",7,4,OUT,Chocolate Amaretto Mousse Cake,Pain Aux RaisinPlain CroissantPain Au Chocolat
Jasminder,Randhawa,1,45,Assistant Credit Control Manager,Birmingham,1,NA,IN,Fresh Mango and Passion Fruit Hummingbird Cake,N/A
Jasminder,Randhawa,1,45,Assistant Credit Control Manager,Birmingham,2,2,IN,Millionaires' Shortbread,Meringues with Chocolate and Space DustCoffee flavoured Eclairs
Jasminder,Randhawa,1,45,Assistant Credit Control Manager,Birmingham,3,5,IN,Focaccia,"Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots"
Jasminder,Randhawa,1,45,Assistant Credit Control Manager,Birmingham,4,2,IN,Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce,"Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble"
Jasminder,Randhawa,1,45,Assistant Credit Control Manager,Birmingham,5,4,OUT,Chicken and Mushroom Pie,"Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés"
Jason,White,2,19,Civil Engineering Student,Croydon,1,6,IN,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,UNKNOWN
Jason,White,2,19,Civil Engineering Student,Croydon,2,3,STAR BAKER,Salmon and Pak Choi Quiche,Mint Chocolate Tarts Blueberry Bakewell Tarts
Jason,White,2,19,Civil Engineering Student,Croydon,3,7,IN,Cheese and Onion Tear and Share Loaf,UNKNOWN
Jason,White,2,19,Civil Engineering Student,Croydon,4,1,STAR BAKER,Lebkuchen,"Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)"
Jason,White,2,19,Civil Engineering Student,Croydon,5,7,OUT,Brown Down Chicken Pie,Plum Meringue Pie
John,Whaite,3,22,Law student,Wigan,1,11,IN,"Toffee Apple, Orange & Cranberry",Hidden Pink Hearts Cake
John,Whaite,3,22,Law student,Wigan,2,1,STAR BAKER,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas","Fig, Walnut and Gruyere Bagels
Blueberry and White Chocolate Bagels"
John,Whaite,3,22,Law student,Wigan,3,6,IN,Apple and Vanilla Tarte Tatin with Walnut Praline,"Berries, Grapes, Pomegranate, and Dragon Fruit Tart"
John,Whaite,3,22,Law student,Wigan,4,6,IN,'Torte Noir' Black Forest Torte with Boozy Cream,Elderflower and Bramble Berry Pavlova
John,Whaite,3,22,Law student,Wigan,5,2,IN,Venison and Haggis Wellington,Star-Spangled Pecan Pie
John,Whaite,3,22,Law student,Wigan,6,5,IN,Spicy Toffee PuddingsRaspberry and White Chocolate Puddings,Did not complete due to injury
John,Whaite,3,22,Law student,Wigan,7,3,IN,Cherry and Almond Saffron Buns,Marzipan Stollen
John,Whaite,3,22,Law student,Wigan,8,3,IN,Asian Spice Crackers,Gingerbread Roman Coliseum
John,Whaite,3,22,Law student,Wigan,9,2,IN,Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macaroons,Gateau St. Honoré a la Passion
John,Whaite,3,22,Law student,Wigan,10,2,WINNER,Italian Sausage and Roasted Vegetable Pithivier,Heaven and Hell Chiffon Cake
Jon,Jenkins,9,47,Blood courier,Newport,1,5,IN,NA,NA
Jon,Jenkins,9,47,Blood courier,Newport,2,1,IN,NA,NA
Jon,Jenkins,9,47,Blood courier,Newport,3,2,IN,NA,NA
Jon,Jenkins,9,47,Blood courier,Newport,4,3,IN,NA,NA
Jon,Jenkins,9,47,Blood courier,Newport,5,7,IN,NA,NA
Jon,Jenkins,9,47,Blood courier,Newport,6,2,IN,NA,NA
Jon,Jenkins,9,47,Blood courier,Newport,7,4,OUT,NA,NA
Jonathan,Shepherd,1,25,Research Analyst,St Albans,1,9,IN,Carrot Cake with Lime and Cream Cheese Icing,Three Tiered White and Dark Chocolate with Almond and Cherry
Jonathan,Shepherd,1,25,Research Analyst,St Albans,2,1,IN,Honey and Candied Ginger Cookies,Meringues with Whiskey Cream
Jonathan,Shepherd,1,25,Research Analyst,St Albans,3,6,OUT,"Anchovy, Sweet Paprika and Oregano Bread","Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun"
Jordan,Cox,5,32,IT Manager,"Sneinton, Nottingham",1,12,IN,Kawaii Frasier Swiss Roll,Lemon Drizzle Cakes with Blueberry and Lemon Curd
Jordan,Cox,5,32,IT Manager,"Sneinton, Nottingham",2,6,IN,"Sourdough, Parmesan and Chilli Biscuits",Monster Attack
Jordan,Cox,5,32,IT Manager,"Sneinton, Nottingham",3,10,OUT,Rye and Spelt Bread Rolls,Strawberry Raspberry Cheesecake Brioche
Julia,Chernogorova,8,21,Aviation Broker,"Crawley, West Sussex",1,3,IN,Courgette and Lemon Cake,'Russian Doll' Cake
Julia,Chernogorova,8,21,Aviation Broker,"Crawley, West Sussex",2,4,IN,Middle Eastern Delight Sandwich Biscuits,'A British Baking' Game
Julia,Chernogorova,8,21,Aviation Broker,"Crawley, West Sussex",3,2,STAR BAKER,Earl Grey Dried Fruit Teacakes,'The Snail Under a Mushroom' Bread Sculpture
Julia,Chernogorova,8,21,Aviation Broker,"Crawley, West Sussex",4,9,IN,Pecan Salted Caramel Millionaire Shortbreads,Poppy Seed Caramel Cake
Julia,Chernogorova,8,21,Aviation Broker,"Crawley, West Sussex",5,3,IN,Orange & Treacle Steamed School Pudding,'Opulent Ornament' Trifle Terrine
Julia,Chernogorova,8,21,Aviation Broker,"Crawley, West Sussex",6,7,OUT,'Pies from the Tree' Decorative Pies,'Special Occasion' Pie
Karen,Wright,9,60,In-store sampling assistant,Wakefield,1,6,IN,NA,NA
Karen,Wright,9,60,In-store sampling assistant,Wakefield,2,11,IN,NA,NA
Karen,Wright,9,60,In-store sampling assistant,Wakefield,3,5,IN,NA,NA
Karen,Wright,9,60,In-store sampling assistant,Wakefield,4,7,IN,NA,NA
Karen,Wright,9,60,In-store sampling assistant,Wakefield,5,9,OUT,NA,NA
Kate,Barmby,7,37,Nurse,"Brooke, Norfolk",1,4,IN,Berry Best Apple and Bramble Drizzle Cake,One Swallow Does Not Make A Summer Cake
Kate,Barmby,7,37,Nurse,"Brooke, Norfolk",2,1,IN,"""A Biscuit for the Broads""","""I Promise I will do my best"""
Kate,Barmby,7,37,Nurse,"Brooke, Norfolk",3,8,IN,Cobbled Loaf,The Corn Maiden
Kate,Barmby,7,37,Nurse,"Brooke, Norfolk",4,7,OUT,Christmas Dinner Compromise,Hot Cross Bunny Churros
Kate,Henry,5,41,Furniture Restorer,"Brighton, East Sussex",1,6,IN,Red Velvet and White Chocolate Swiss Roll,Mini Tiered Victoria Sponges
Kate,Henry,5,41,Furniture Restorer,"Brighton, East Sussex",2,4,IN,Parmesan and Apple Biscuits,Tea Time
Kate,Henry,5,41,Furniture Restorer,"Brighton, East Sussex",3,1,IN,Orange and Cardamom Rye Bread Knots,"Prosciutto, Olive and Coriander Bread"
Kate,Henry,5,41,Furniture Restorer,"Brighton, East Sussex",4,7,IN,Chocolate and Salted Caramel Molten Puddings,"Pistachio, Raspberry and Chocolate Baked Alaska"
Kate,Henry,5,41,Furniture Restorer,"Brighton, East Sussex",5,3,STAR BAKER,Rhubarb and Custard Tart,"Rhubarb, Prune and Apple Pies"
Kate,Henry,5,41,Furniture Restorer,"Brighton, East Sussex",6,6,IN,"Pecan, Chocolate and Sour Cherry Yeast Cake",Trio of Dobos Tortes
Kate,Henry,5,41,Furniture Restorer,"Brighton, East Sussex",7,4,OUT,Spinach and Paneer Spicy Samosa,Neapolitan & Lemon Meringue Éclairs
Kate,Lyon,8,29,Health and safety inspector,Merseyside,1,1,IN,Moroccan Strawberry and Rose Cake,'Chocolate Terrarium' Cake
Kate,Lyon,8,29,Health and safety inspector,Merseyside,2,8,IN,Coconut Seashells for a Titanic Afternoon Tea,'Jungle' Game
Kate,Lyon,8,29,Health and safety inspector,Merseyside,3,10,IN,Blueberry Buns,'Kraken' Bread Sculpture
Kate,Lyon,8,29,Health and safety inspector,Merseyside,4,6,STAR BAKER,Salted Bay Caramel Millionaire Shortbreads,Sticky Toffee Apple Caramel Cake
Kate,Lyon,8,29,Health and safety inspector,Merseyside,5,8,IN,'Mr Darcy's Steamy Lake Scene' Steamed School Pudding,'My Great Great Nan's' Raspberry Trifle Terrine
Kate,Lyon,8,29,Health and safety inspector,Merseyside,6,5,IN,'Vegetarian Pie Faces' Decorative Pies,Potato Curry Pie with Mango & Chilli Glaze
